Channel,X,Y,Z
number,UTM [m],UTM [m],UTM [m]
-20,0,0,0
-19,0,0,0
-18,0,0,0
-17,0,0,0
-16,0,0,0
-15,0,0,0
-14,0,0,0
-13,0,0,0
-12,0,0,0
-11,0,0,0
-10,0,0,0
-9,0,0,0
-8,0,0,0
-7,0,0,0
-6,0,0,0
-5,0,0,0
-4,0,0,0
-3,0,0,0
-2,0,0,0
-1,0,0,0
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,327809.77,4407420.05,1225.92
31,327809.67,4407421.04,1225.912
32,327809.57,4407422.02,1225.905
33,327809.47,4407423.01,1225.897
34,327809.36,4407424,1225.889
35,327809.26,4407424.99,1225.881
36,327809.16,4407425.98,1225.874
37,327809.05,4407426.96,1225.866
38,327808.95,4407427.95,1225.858
39,327808.85,4407428.94,1225.851
40,327808.75,4407429.93,1225.843
41,327808.64,4407430.92,1225.835
42,327808.54,4407431.91,1225.827
43,327808.44,4407432.89,1225.82
44,327808.34,4407433.88,1225.812
45,327808.23,4407434.87,1225.804
46,327808.13,4407435.86,1225.797
47,327808.03,4407436.85,1225.789
48,327807.93,4407437.84,1225.781
49,327807.82,4407438.82,1225.773
50,327807.72,4407439.81,1225.766
51,327807.62,4407440.8,1225.758
52,327807.52,4407441.79,1225.75
53,327807.41,4407442.78,1225.743
54,327807.31,4407443.76,1225.735
55,327807.21,4407444.75,1225.727
56,327807.1,4407445.74,1225.719
57,327807,4407446.73,1225.712
58,327806.9,4407447.72,1225.704
59,327806.8,4407448.71,1225.696
60,327806.69,4407449.69,1225.689
61,327806.59,4407450.68,1225.681
62,327806.49,4407451.67,1225.673
63,327806.39,4407452.66,1225.665
64,327806.28,4407453.65,1225.658
65,327806.18,4407454.64,1225.65
66,327806.08,4407455.62,1225.642
67,327805.98,4407456.61,1225.635
68,327805.87,4407457.6,1225.627
69,327805.77,4407458.59,1225.619
70,327805.67,4407459.58,1225.612
71,327805.57,4407460.57,1225.604
72,327805.46,4407461.55,1225.596
73,327805.54,4407462.49,1225.602
74,327806.14,4407463.29,1225.621
75,327806.73,4407464.08,1225.64
76,327807.33,4407464.87,1225.66
77,327807.93,4407465.67,1225.679
78,327808.53,4407466.46,1225.699
79,327809.13,4407467.26,1225.718
80,327809.73,4407468.05,1225.737
81,327810.33,4407468.84,1225.757
82,327810.93,4407469.64,1225.776
83,327811.53,4407470.43,1225.795
84,327812.13,4407471.23,1225.815
85,327812.73,4407472.02,1225.834
86,327813.33,4407472.81,1225.853
87,327813.93,4407473.61,1225.873
88,327814.53,4407474.4,1225.892
89,327815.13,4407475.2,1225.911
90,327815.73,4407475.99,1225.931
91,327816.33,4407476.78,1225.95
92,327816.92,4407477.58,1225.969
93,327817.52,4407478.37,1225.988
94,327818.12,4407479.17,1226.006
95,327818.72,4407479.96,1226.023
96,327819.32,4407480.75,1226.039
97,327819.92,4407481.55,1226.054
98,327820.52,4407482.34,1226.068
99,327821.12,4407483.14,1226.08
100,327821.72,4407483.93,1226.088
101,327822.32,4407484.72,1226.094
