Station,Latitude_in_deg_final,Longitude_in_deg_final,UTM_easting_in_meters_final,UTM_northing_in_meters_final,Height_above_WGS84_ellipsoid_in_meters_final,Height_above_unkown_geoid_in_meters_final,Start_Date,Start_Time,Stop_Date,Stop_Time,Orientation_from_true_North,Notes
N001,39.79858672,-119.00640920,328224.965,4407328.289,1241.359,1265.797,2016-03-09,17:46:27.184,2016-03-26,16:20:28.184,006,
N002,39.79909202,-119.00599270,328261.883,4407383.577,1242.369,1266.806,2016-03-09,17:22:47.260,2016-03-26,16:19:48.260,006,
N003,39.79961329,-119.00550810,328304.671,4407440.507,1243.346,1267.782,2016-03-09,17:08:20.036,2016-03-26,16:19:21.036,003,
N004,39.80011921,-119.00517280,328334.638,4407496.021,1243.658,1268.093,2016-03-09,18:26:42.274,2016-03-26,16:20:43.274,357,
N005,39.80074673,-119.00458930,328386.156,4407564.555,1245.744,1270.177,2016-03-09,18:41:53.424,2016-03-26,16:14:24.424,004,
N006,39.80097462,-119.00399100,328437.947,4407588.703,1248.633,1273.065,2016-03-09,18:55:57.352,2016-03-26,16:20:58.352,356,
N007,39.80149611,-119.00360950,328471.906,4407645.856,1247.984,1272.415,2016-03-09,20:01:25.758,2016-03-26,16:18:56.758,358,
N008,39.80202166,-119.00329180,328500.413,4407703.583,1247.805,1272.234,2016-03-09,19:52:09.686,2016-03-26,17:49:40.686,355,
N009,39.80253000,-119.00277250,328546.136,4407759.012,1248.277,1272.705,2016-03-09,20:22:13.624,2016-03-26,17:49:14.624,357,
N010,39.80305891,-119.00226860,328590.591,4407816.755,1249.065,1273.491,2016-03-09,20:32:55.702,2016-03-26,17:48:56.702,001,
N011,39.80376372,-119.00174590,328637.092,4407893.987,1249.923,1274.347,2016-03-09,20:50:53.854,2016-03-26,17:47:54.854,002,
N012,39.80399062,-119.00143440,328664.324,4407918.576,1249.911,1274.335,2016-03-08,20:13:57.240,2016-03-26,17:49:28.240,007,
N013,39.80459687,-119.00116990,328688.473,4407985.362,1250.607,1275.030,2016-03-09,21:04:16.678,2016-03-26,17:48:17.678,003,
N014,39.80494348,-119.00049730,328746.916,4408022.548,1250.611,1275.033,2016-03-09,21:14:15.504,2016-03-26,18:13:16.504,354,
N015,39.80553898,-119.00021210,328772.811,4408088.102,1250.410,1274.830,2016-03-09,21:33:17.588,2016-03-26,18:13:48.588,003,
N016,39.80595092,-118.99963850,328822.939,4408132.729,1251.006,1275.424,2016-03-09,22:38:51.882,2016-03-26,18:13:52.882,000,
N017,39.80646145,-118.99918090,328863.381,4408188.521,1252.524,1276.941,2016-03-09,22:49:07.442,2016-03-26,18:13:08.442,358,
N018,39.80693547,-118.99875830,328900.735,4408240.329,1253.262,1277.677,2016-03-09,22:57:45.212,2016-03-26,18:12:16.212,355,
N019,39.80742146,-118.99826230,328944.402,4408293.324,1254.173,1278.588,2016-03-09,01:43:25.922,2016-03-26,18:14:26.922,011,
N020,39.80791227,-118.99785900,328980.145,4408347.033,1254.846,1279.259,2016-03-09,01:33:25.330,2016-03-26,20:43:56.330,359,
N021,39.80842511,-118.99738960,329021.600,4408403.060,1255.600,1280.012,2016-03-09,01:08:33.420,2016-03-26,20:43:34.420,005,
N022,39.80892280,-118.99695300,329060.209,4408457.469,1256.833,1281.244,2016-03-08,23:00:49.680,2016-03-26,18:11:50.680,000,
N023,39.80934179,-118.99654320,329096.329,4408503.193,1257.790,1282.199,2016-03-08,23:13:43.744,2016-03-26,18:14:14.744,357,
N024,39.80983271,-118.99611500,329134.201,4408556.866,1259.910,1284.318,2016-03-08,23:27:06.110,2016-03-26,20:43:37.110,000,
N025,39.79882809,-119.00691810,328181.995,4407356.058,1238.907,1263.345,2016-03-09,18:02:13.328,2016-03-26,16:21:44.328,005,
N026,39.79943549,-119.00648450,328220.631,4407422.646,1238.826,1263.262,2016-03-09,18:12:29.256,2016-03-26,20:50:30.256,359,
N027,39.79992745,-119.00580860,328279.725,4407475.956,1240.300,1264.735,2016-03-07,21:50:34.034,2016-03-26,20:48:35.034,355,
